"Id","LotShape","LandContour","Utilities","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageYrBlt","SaleCondition"
1109,"Reg","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","2Story",6,5,2000,1,"TA",7,"Typ",1,"TA","Attchd",2000,"Abnorml"
1110,"IR1","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","1Fam","1Story",8,5,2004,1,"Gd",7,"Typ",1,"Gd","Attchd",2004,"Normal"
1111,"Reg","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","2Story",6,5,1995,1,"TA",8,"Typ",1,"TA","Attchd",1995,"Normal"
1112,"Reg","Lvl","AllPub","Inside","Gtl","NWAmes","Norm","Norm","1Fam","2Story",7,6,1976,1,"TA",8,"Typ",1,"Gd","Attchd",1976,"Normal"
1113,"IR1","Lvl","AllPub","Corner","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,7,1957,1,"TA",5,"Typ",0,NA,"Detchd",1957,"Normal"
1114,"Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,7,1953,1,"Gd",6,"Typ",0,NA,"Attchd",1953,"Normal"
1115,"Reg","Lvl","AllPub","Inside","Gtl","OldTown","Norm","Norm","1Fam","1Story",5,7,1954,1,"Gd",4,"Typ",0,NA,"Detchd",1955,"Normal"
1116,"Reg","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","1Fam","1Story",8,5,2007,1,"Ex",7,"Typ",1,"Gd","Attchd",2007,"Partial"
1117,"Reg","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","SLvl",8,5,2002,1,"Gd",7,"Typ",1,"TA","BuiltIn",2002,"Normal"
1118,"IR1","Lvl","AllPub","FR2","Gtl","Sawyer","Feedr","Norm","1Fam","1Story",5,7,1967,1,"Gd",5,"Typ",0,NA,"Attchd",1967,"Normal"
1119,"Reg","Lvl","AllPub","Inside","Gtl","Sawyer","Norm","Norm","1Fam","SLvl",5,6,1958,1,"TA",6,"Min2",0,NA,"BuiltIn",1958,"Normal"
1120,"Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,5,1959,1,"TA",6,"Typ",0,NA,"Attchd",1959,"Normal"
1121,"Reg","Bnk","AllPub","Inside","Mod","IDOTRR","Norm","Norm","1Fam","1Story",6,5,1920,1,"TA",6,"Typ",1,"Gd","Detchd",1920,"Normal"
1122,"Reg","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","1Story",7,5,2005,1,"Gd",7,"Typ",0,NA,"Attchd",2005,"Partial"
1123,"IR1","Lvl","AllPub","Corner","Gtl","Edwards","Norm","Norm","1Fam","1Story",4,3,1956,1,"TA",5,"Typ",0,NA,"Basment",1956,"Abnorml"
1124,"Reg","Lvl","AllPub","Inside","Gtl","Edwards","Norm","Norm","1Fam","1Story",5,9,1947,1,"TA",4,"Typ",0,NA,NA,NA,"Normal"
1125,"IR1","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","SLvl",7,5,1992,1,"Gd",7,"Typ",1,"TA","Attchd",1992,"Normal"
1126,"Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",4,5,1955,1,"Fa",5,"Typ",1,"TA","Detchd",1977,"Normal"
1127,"Reg","Lvl","AllPub","Inside","Gtl","Blmngtn","Norm","Norm","TwnhsE","1Story",7,5,2007,1,"Gd",7,"Typ",1,"TA","Attchd",2007,"Normal"
1128,"IR3","Lvl","AllPub","Corner","Gtl","Gilbert","Norm","Norm","1Fam","1Story",7,5,2004,1,"Gd",7,"Typ",1,"Gd","Attchd",2004,"Family"
1129,"IR1","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","2Story",7,5,2004,1,"Gd",8,"Typ",1,"Gd","BuiltIn",2004,"Normal"
1130,"Reg","Lvl","AllPub","Inside","Gtl","OldTown","Norm","Norm","Duplex","SFoyer",5,5,1980,1,"TA",4,"Typ",0,NA,"Detchd",1980,"Normal"
1131,"Reg","Lvl","AllPub","Inside","Gtl","SWISU","Norm","Norm","1Fam","1.5Fin",4,3,1928,1,"Gd",7,"Min2",2,"TA","Detchd",1981,"Normal"
1132,"Reg","Lvl","AllPub","Inside","Gtl","Mitchel","Norm","Norm","1Fam","1Story",5,5,1991,1,"TA",5,"Typ",0,NA,NA,NA,"Abnorml"
1133,"Reg","Lvl","AllPub","Inside","Gtl","OldTown","Norm","Norm","1Fam","2Story",6,4,1880,1,"Fa",8,"Typ",0,NA,"Detchd",1930,"Normal"
1134,"IR1","Lvl","AllPub","Inside","Gtl","SawyerW","Norm","Norm","1Fam","2Story",8,5,1995,1,"Gd",8,"Typ",1,"TA","Attchd",1995,"Normal"
1135,"IR1","HLS","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","2Story",6,5,1997,1,"TA",7,"Typ",1,"TA","Attchd",1997,"Normal"
1136,"Reg","Lvl","AllPub","Corner","Gtl","BrkSide","Norm","Norm","1Fam","1Story",6,5,1926,1,"TA",5,"Typ",1,"Gd","Detchd",1926,"Normal"
1137,"Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1.5Fin",6,5,1950,1,"TA",6,"Typ",0,NA,"Attchd",1950,"Abnorml"
1138,"Reg","Lvl","AllPub","Inside","Gtl","Sawyer","Feedr","Norm","1Fam","1.5Fin",5,8,1875,1,"TA",6,"Typ",0,NA,NA,NA,"Normal"
1139,"IR1","Lvl","AllPub","Inside","Mod","Mitchel","Norm","Norm","1Fam","1Story",6,5,1977,1,"Gd",5,"Typ",2,"TA","Attchd",1977,"Normal"
1140,"IR1","Lvl","AllPub","Inside","Gtl","BrkSide","Norm","Norm","1Fam","1Story",5,5,1920,1,"TA",6,"Maj1",1,"Gd","Detchd",1972,"Normal"
1141,"Reg","Lvl","AllPub","Corner","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,7,1951,1,"TA",4,"Typ",0,NA,"Detchd",1988,"Abnorml"
1142,"IR1","Lvl","AllPub","CulDSac","Gtl","NWAmes","PosN","Norm","1Fam","2Story",5,7,1976,1,"Gd",9,"Typ",1,"TA","Attchd",1976,"Normal"
1143,"Reg","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","2Story",8,5,2006,1,"Gd",11,"Typ",1,"TA","BuiltIn",2006,"Partial"
1144,"Reg","Lvl","AllPub","Inside","Gtl","Sawyer","Norm","Norm","1Fam","1Story",5,3,1959,1,"TA",5,"Typ",0,NA,NA,NA,"Normal"
1145,"Reg","Lvl","AllPub","Inside","Gtl","Edwards","Norm","Norm","2fmCon","1.5Fin",4,4,1941,1,"Fa",5,"Typ",0,NA,"Detchd",1941,"Normal"
1146,"Reg","Lvl","AllPub","Inside","Gtl","BrkSide","Norm","Norm","1Fam","1.5Fin",5,6,1928,1,"TA",8,"Typ",1,"Gd","Detchd",1928,"Family"
1147,"Reg","Lvl","AllPub","Inside","Gtl","SawyerW","Norm","Norm","1Fam","1Story",6,5,1985,1,"Gd",5,"Typ",1,"TA","Attchd",1985,"Normal"
1148,"Reg","Bnk","AllPub","Inside","Gtl","Crawfor","Norm","Norm","1Fam","2Story",7,7,1941,1,"Fa",7,"Typ",1,"Gd","Attchd",1941,"Normal"
1149,"Reg","Lvl","AllPub","Inside","Gtl","OldTown","Norm","Norm","1Fam","1.5Fin",7,7,1926,1,"TA",5,"Typ",1,"Gd","Detchd",1982,"Normal"
1150,"Reg","Lvl","AllPub","Inside","Gtl","OldTown","Artery","Norm","1Fam","2Story",7,9,1920,1,"TA",7,"Typ",0,NA,"Detchd",1930,"Normal"
1151,"IR1","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",6,5,1950,1,"Gd",4,"Typ",1,"Gd","Attchd",1950,"Normal"
1152,"Reg","Lvl","AllPub","Inside","Gtl","Edwards","Norm","Norm","1Fam","1Story",5,4,1959,1,"Fa",6,"Typ",2,"Gd","Attchd",1959,"Normal"
1153,"IR1","Lvl","AllPub","Inside","Gtl","Crawfor","Norm","Norm","1Fam","1Story",6,7,1956,1,"Ex",6,"Typ",1,"Gd","Attchd",1956,"Abnorml"
1154,"Reg","Lvl","AllPub","Corner","Gtl","IDOTRR","Norm","Norm","1Fam","1Story",6,8,1930,1,"TA",5,"Typ",0,NA,"Detchd",2002,"Normal"
1155,"IR1","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","2Story",7,6,1965,1,"Gd",8,"Typ",2,"Gd","Attchd",1965,"Normal"
1156,"IR1","Lvl","AllPub","Corner","Gtl","Veenker","Norm","Norm","1Fam","1Story",5,8,1976,1,"Gd",6,"Typ",1,"Fa","Attchd",1976,"Normal"
1157,"Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","SLvl",5,8,1965,1,"Gd",6,"Typ",1,"Gd","Attchd",1965,"Normal"
1158,"IR1","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","Twnhs","1Story",7,5,2007,1,"Gd",6,"Typ",1,"Gd","Attchd",2008,"Normal"
1159,"Reg","Lvl","AllPub","FR2","Gtl","Somerst","Feedr","Norm","1Fam","1Story",8,5,2007,1,"Gd",7,"Typ",0,NA,"Attchd",2008,"Partial"
1160,"Reg","Lvl","AllPub","Inside","Gtl","NWAmes","Norm","Norm","1Fam","2Story",6,6,1974,1,"Gd",8,"Typ",1,"TA","Attchd",1974,"Normal"
1161,"Reg","Lvl","AllPub","Inside","Gtl","NPkVill","Norm","Norm","Twnhs","2Story",6,5,1978,1,"TA",7,"Typ",1,"TA","Attchd",1978,"Normal"
1162,"IR1","Low","AllPub","CulDSac","Gtl","Crawfor","PosN","Norm","1Fam","1Story",6,7,1954,1,"Gd",7,"Typ",1,"Gd","Detchd",1993,"Normal"
1163,"Reg","Lvl","AllPub","Inside","Gtl","Sawyer","Norm","Norm","1Fam","1Story",5,5,1968,1,"TA",5,"Typ",1,"Po","Attchd",1968,"Normal"
1164,"Reg","Lvl","AllPub","Inside","Gtl","Sawyer","Feedr","Norm","Duplex","SFoyer",4,4,1969,2,"TA",6,"Typ",0,NA,"CarPort",1969,"Alloca"
1165,"IR1","Lvl","AllPub","FR2","Gtl","Veenker","Feedr","Norm","1Fam","SLvl",5,7,1978,1,"Gd",5,"Typ",1,"TA","Attchd",1978,"Normal"
1166,"IR1","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","1Fam","1Story",7,5,2009,1,"Gd",7,"Typ",0,NA,"Attchd",2009,"Partial"
1167,"IR1","Lvl","AllPub","Corner","Gtl","CollgCr","Norm","Norm","1Fam","1Story",8,5,2008,1,"Gd",7,"Typ",0,NA,"Attchd",2008,"Normal"
1168,"IR1","Lvl","AllPub","Inside","Gtl","Gilbert","RRAn","Norm","1Fam","2Story",6,5,2000,1,"TA",7,"Typ",1,"TA","Attchd",2000,"Normal"
1169,"Reg","Lvl","AllPub","Corner","Gtl","Edwards","Norm","Norm","1Fam","2Story",6,7,1935,1,"Gd",7,"Typ",2,"TA","Basment",1935,"Normal"
1170,"IR1","Lvl","AllPub","CulDSac","Gtl","NoRidge","Norm","Norm","1Fam","2Story",10,5,1995,1,"Gd",10,"Typ",1,"TA","Attchd",1995,"Normal"
1171,"Reg","Lvl","AllPub","Inside","Gtl","Mitchel","Norm","Norm","1Fam","SLvl",6,6,1977,1,"TA",6,"Typ",1,"Po","Attchd",1977,"Normal"
1172,"Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",6,6,1958,1,"TA",6,"Typ",1,"TA","Attchd",1958,"Normal"
1173,"IR1","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","TwnhsE","2Story",7,5,2006,1,"Gd",5,"Typ",0,NA,"Detchd",2006,"Normal"
1174,"IR1","Bnk","AllPub","Inside","Gtl","ClearCr","Norm","Norm","1Fam","1.5Fin",5,6,1946,1,"Ex",12,"Maj1",1,"Gd",NA,NA,"Normal"
1175,"IR1","Lvl","AllPub","Inside","Gtl","Crawfor","Norm","Norm","1Fam","2Story",6,8,1932,1,"TA",9,"Typ",1,"Gd","Detchd",1932,"Normal"
1176,"Reg","Lvl","AllPub","Inside","Gtl","NoRidge","Norm","Norm","1Fam","1.5Fin",8,5,1992,1,"Gd",9,"Typ",1,"TA","Attchd",1992,"Normal"
1177,"IR1","Lvl","AllPub","CulDSac","Gtl","Mitchel","Norm","Norm","1Fam","1Story",5,5,1984,1,"TA",5,"Typ",0,NA,"Attchd",1984,"Normal"
1178,"Reg","Bnk","AllPub","Inside","Gtl","OldTown","Artery","Norm","1Fam","1.5Fin",6,8,1926,1,"TA",5,"Typ",0,NA,"Detchd",1926,"Normal"
1179,"IR1","Lvl","AllPub","FR2","Gtl","Crawfor","Norm","Norm","1Fam","1.5Fin",5,6,1921,1,"TA",7,"Typ",1,"Gd","Detchd",1921,"Normal"
1180,"Reg","Lvl","AllPub","Corner","Gtl","Edwards","Norm","Norm","1Fam","1Story",5,5,1954,1,"TA",5,"Min2",1,"Gd",NA,NA,"Normal"
1181,"IR2","Lvl","AllPub","Corner","Gtl","Timber","Norm","Norm","1Fam","2Story",7,5,1990,1,"TA",8,"Typ",0,NA,"Attchd",1990,"Normal"
1182,"IR1","HLS","AllPub","Inside","Mod","Crawfor","Norm","Norm","TwnhsE","1Story",8,5,2008,1,"Gd",5,"Typ",1,"Gd","Attchd",2008,"Partial"
1183,"IR1","Lvl","AllPub","Corner","Gtl","NoRidge","Norm","Norm","1Fam","2Story",10,5,1996,1,"Ex",10,"Typ",2,"TA","Attchd",1996,"Abnorml"
1184,"Reg","Lvl","AllPub","Inside","Gtl","OldTown","Norm","Norm","1Fam","1Story",5,6,1920,1,"TA",5,"Typ",1,"Gd","Detchd",1970,"Normal"
1185,"Reg","Lvl","AllPub","Inside","Mod","Timber","Norm","Norm","1Fam","1Story",5,4,1963,1,"TA",5,"Typ",2,"TA","2Types",1963,"Normal"
1186,"Reg","Lvl","AllPub","Inside","Gtl","Edwards","Norm","Norm","1Fam","1.5Fin",5,7,1924,1,"TA",7,"Typ",0,NA,"Attchd",1965,"Normal"
1187,"IR1","Bnk","AllPub","Corner","Mod","OldTown","Artery","Artery","2fmCon","2Story",3,5,1900,2,"TA",7,"Typ",0,NA,"CarPort",1920,"Abnorml"
1188,"Reg","Lvl","AllPub","Corner","Gtl","NoRidge","Norm","Norm","1Fam","1Story",8,5,1994,1,"Gd",5,"Typ",1,"Fa","Attchd",1994,"Normal"
1189,"IR1","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","2Story",7,5,2002,1,"Gd",7,"Typ",0,NA,"Attchd",2002,"Normal"
1190,"Reg","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","2Story",7,5,1999,1,"Gd",7,"Typ",1,"TA","Attchd",1999,"Normal"
1191,"Reg","Low","AllPub","Inside","Mod","Mitchel","Norm","Norm","2fmCon","1Story",4,4,1961,1,"TA",7,"Typ",1,"TA","2Types",1975,"Normal"
1192,"Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","Twnhs","2Story",8,5,1999,1,"Gd",5,"Typ",0,NA,"Detchd",1999,"Normal"
1193,"Reg","Lvl","AllPub","Inside","Gtl","OldTown","Norm","Norm","1Fam","1.5Fin",5,8,1925,1,"Gd",6,"Typ",0,NA,"Detchd",1925,"Normal"
1194,"Reg","Lvl","AllPub","FR2","Gtl","Mitchel","Norm","Norm","TwnhsE","1Story",6,5,1999,1,"TA",5,"Typ",0,NA,"Attchd",1999,"Normal"
1195,"Reg","Lvl","AllPub","Corner","Gtl","Sawyer","Norm","Norm","1Fam","2Story",6,7,1969,1,"TA",7,"Typ",0,NA,"Attchd",1969,"Normal"
1196,"IR1","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","2Story",6,5,2005,1,"Gd",8,"Typ",0,NA,"Attchd",2005,"Normal"
1197,"IR1","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","2Story",7,5,2006,1,"Gd",9,"Typ",1,"Gd","BuiltIn",2006,"Partial"
1198,"IR1","Bnk","AllPub","Corner","Gtl","OldTown","Norm","Norm","1Fam","2.5Unf",7,6,1916,1,"TA",7,"Typ",1,"Gd","Detchd",1916,"Normal"
1199,"Reg","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","1Story",7,5,2001,1,"Gd",6,"Typ",0,NA,"Attchd",2001,"Normal"
1200,"Reg","Lvl","AllPub","Inside","Gtl","Sawyer","Norm","Norm","1Fam","1Story",4,5,1963,1,"TA",6,"Typ",1,"Po","Attchd",1974,"Normal"
1201,"Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",4,5,1970,1,"TA",5,"Typ",0,NA,"Attchd",1972,"Abnorml"
1202,"Reg","Lvl","AllPub","Corner","Gtl","CollgCr","Norm","Norm","1Fam","2Story",7,5,1998,1,"Gd",6,"Typ",0,NA,"Attchd",1998,"Normal"
1203,"Reg","Lvl","AllPub","Corner","Gtl","BrkSide","Norm","Norm","1Fam","1.5Fin",5,8,1925,1,"TA",5,"Typ",1,"Fa","Detchd",1960,"Normal"
1204,"Reg","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","1Story",7,5,2000,1,"Gd",6,"Typ",1,"TA","Attchd",2000,"Normal"
1205,"Reg","Lvl","AllPub","Inside","Gtl","NWAmes","Norm","Norm","1Fam","1Story",5,6,1975,1,"TA",6,"Typ",0,NA,"Attchd",1975,"Normal"
1206,"IR1","Lvl","AllPub","CulDSac","Gtl","SawyerW","Norm","Norm","1Fam","1Story",7,7,1990,1,"Gd",7,"Typ",1,"TA","Attchd",1990,"Normal"
1207,"Reg","Lvl","AllPub","Inside","Gtl","SawyerW","Norm","Norm","1Fam","1Story",4,4,1966,1,"TA",5,"Typ",0,NA,"Detchd",1966,"Normal"
1208,"Reg","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","1Story",6,5,2003,1,"Gd",7,"Typ",0,NA,"Attchd",2003,"Normal"
1209,"Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,7,1962,1,"TA",6,"Typ",0,NA,"Detchd",1980,"Normal"
